File.Name	Title	URL	Main.Topic	Lizenzart	Author	Second.Author	Organisation	Organisation.Link
 Bereich:    Politika   	Freispruch: warum die Klage gegen SOS Balkanroute gesellschaftliche Folgen hat	https://www.dasbiber.at///content/freispruch-warum-die-klage-gegen-sos-balkanroute-gesellschaftliche-folgen-hat		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Asylstatus: Untergetaucht	https://www.dasbiber.at///content/asylstatus-untergetaucht		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Lifestyle   	Gemma Grillen!	https://www.dasbiber.at///content/gemma-grillen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	"Herr Thür, wie oft haben Sie die Republik Österreich verklagt?"	https://www.dasbiber.at///content/herr-thuer-wie-oft-haben-sie-die-republik-oesterreich-verklagt		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Rambazamba   	Stell dich nicht so an! - Wenn Migra-Eltern psychische Erkrankungen nicht ernst nehmen	https://www.dasbiber.at///content/stell-dich-nicht-so-wenn-migra-eltern-psychische-erkrankungen-nicht-ernst-nehmen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
no specified category	„Die Welt darf keinen zweiten Völkermord zulassen.“	https://www.dasbiber.at///content/die-welt-darf-keinen-zweiten-voelkermord-zulassen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	SREBRENICA: Vergraben und verscharrt, aber nicht vermisst	https://www.dasbiber.at///content/srebrenica-vergraben-und-verscharrt-aber-nicht-vermisst		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    3 Minuten mit...   	3 Minuten mit Omar Al Kaissi	https://www.dasbiber.at///content/3-minuten-mit-omar-al-kaissi		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Ivanas Welt   	Die letzte generacija	https://www.dasbiber.at///content/die-letzte-generacija		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Kultur   	Von selbstgesponnenen Auffangnetzen	https://www.dasbiber.at///content/von-selbstgesponnenen-auffangnetzen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Rambazamba   	Die Heuchelei mit dem Tierschutz zum Opferfest	https://www.dasbiber.at///content/die-heuchelei-mit-dem-tierschutz-zum-opferfest		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Karriere   	Optimal vorbereitet auf die Karriere in der Gesundheits- und Krankenpflege	https://www.dasbiber.at///content/optimal-vorbereitet-auf-die-karriere-der-gesundheits-und-krankenpflege		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
no specified category	Gemma Parlament!	https://www.dasbiber.at///content/gemma-parlament		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	"Herr Hanke, wie oft haben Sie sich über die "Klimakleber" geärgert?"	https://www.dasbiber.at///content/herr-hanke-wie-oft-haben-sie-sich-ueber-die-klimakleber-geaergert		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Lifestyle   	Das "P" in "Pride" steht nicht für Party	https://www.dasbiber.at///content/das-p-pride-steht-nicht-fuer-party		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Special   	„Zieh dich mal an wie eine richtige Frau“	https://www.dasbiber.at///content/zieh-dich-mal-wie-eine-richtige-frau		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Special   	„Sei netter zu den Österreichern!“ - Warum ich niemandem um jeden Preis gefallen will	https://www.dasbiber.at///content/sei-netter-zu-den-oesterreichern-warum-ich-niemandem-um-jeden-preis-gefallen-will		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Serbien, Schule und Waffen	https://www.dasbiber.at///content/serbien-schule-und-waffen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Special   	Wenn Blicke stärken	https://www.dasbiber.at///content/wenn-blicke-staerken		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
no specified category	„Erdoğan ist ein Macher!“	https://www.dasbiber.at///content/erdogan-ist-ein-macher		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Aktivismus aus dem Exil	https://www.dasbiber.at///content/aktivismus-aus-dem-exil		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Ivanas Welt   	Zwischen Tüll, Tränen und Trompeten	https://www.dasbiber.at///content/zwischen-tuell-traenen-und-trompeten		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Rambazamba   	Großeltern auf den Barrikaden	https://www.dasbiber.at///content/grosseltern-auf-den-barrikaden		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    3 Minuten mit...   	Drei Minuten mit Magic Marko	https://www.dasbiber.at///content/drei-minuten-mit-magic-marko		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Deutschland und Österreich, das sind auch eure Wähler:innen.	https://www.dasbiber.at///content/deutschland-und-oesterreich-das-sind-auch-eure-waehlerinnen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Out of Aut   	Prijedor ´92: Die Hölle des Konzentrationslagers Trnopolje	https://www.dasbiber.at///content/prijedor-92-die-hoelle-des-konzentrationslagers-trnopolje		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	„Opa, mit dir war nie etwas falsch!“ - Was ich meinem schwulen, verstorbenen Opa gerne noch alles sagen würde.	https://www.dasbiber.at///content/opa-mit-dir-war-nie-etwas-falsch-was-ich-meinem-schwulen-verstorbenen-opa-gerne-noch-alles		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Liebe muslimische Leser:innen, ist es ekelhaft, wenn Homsexuelle sich küssen?	https://www.dasbiber.at///content/liebe-muslimische-leserinnen-ist-es-ekelhaft-wenn-homsexuelle-sich-kuessen		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Türkei-Wahlen: Der Morgen danach	https://www.dasbiber.at///content/tuerkei-wahlen-der-morgen-danach		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Kultur   	"Warum machst du den Film nicht einfach selber?" Filmemacherin Ana Bilić im Interview	https://www.dasbiber.at///content/warum-machst-du-den-film-nicht-einfach-selber-filmemacherin-ana-bilic-im-interview		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Religion   	"Kannst du nicht am Nachmittag Bayram feiern?"	https://www.dasbiber.at///content/kannst-du-nicht-am-nachmittag-bajram-feiern		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	Wer schützt unsere Kinder vor Schwarz-Blau?	https://www.dasbiber.at///content/wer-schuetzt-unsere-kinder-vor-schwarz-blau		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
 Bereich:    Politika   	„Your Europe, Your Say!“ 2023: „Junge Leute wissen oft gar nicht, dass sie eine Stimme haben, die von der EU gehört werden kann.“	https://www.dasbiber.at///content/your-europe-your-say-2023-junge-leute-wissen-oft-gar-nicht-dass-sie-eine-stimme-haben-die		unknown	dasBiber	dasBiber	dasBiber	https://www.dasbiber.at/
